1.08e+04	0.0203
1.10e+04	0.1449
1.12e+04	0.1981
1.13e+04	0.2589
1.14e+04	0.2395
1.15e+04	0.3046
1.16e+04	0.3400
1.17e+04	0.4952
1.18e+04	0.5652
1.19e+04	0.6738
1.20e+04	0.6913
1.21e+04	0.7457
1.22e+04	0.7952
1.23e+04	0.8186
1.24e+04	0.8378
1.25e+04	0.8679
1.26e+04	0.8317
1.27e+04	0.7962
1.28e+04	0.9360
1.29e+04	0.9872
1.30e+04	0.9722
1.31e+04	0.9533
1.32e+04	0.9143
1.33e+04	0.7560
1.34e+04	0.6024
1.35e+04	0.5233
1.36e+04	0.4749
1.37e+04	0.4620
1.38e+04	0.4370
1.39e+04	0.3225
1.40e+04	0.2483
1.42e+04	0.0532
1.43e+04	0.0193
1.44e+04	0.0079
1.45e+04	0.0000
1.46e+04	0.0000
1.47e+04	0.0000
1.48e+04	0.0000
