1.49e+04	0.0150
1.50e+04	0.0530
1.51e+04	0.1570
1.52e+04	0.3295
1.53e+04	0.5002
1.54e+04	0.5634
1.55e+04	0.6506
1.56e+04	0.6972
1.57e+04	0.7096
1.58e+04	0.7205
1.59e+04	0.8070
1.60e+04	0.8018
1.61e+04	0.8043
1.62e+04	0.8094
1.63e+04	0.8517
1.64e+04	0.8989
1.65e+04	0.8980
1.66e+04	0.9011
1.67e+04	0.9246
1.68e+04	0.9250
1.69e+04	0.9470
1.70e+04	0.9070
1.71e+04	0.9460
1.72e+04	0.9472
1.73e+04	0.9726
1.74e+04	0.9760
1.75e+04	0.9518
1.76e+04	0.9524
1.77e+04	0.9585
1.78e+04	0.8456
1.79e+04	0.6995
1.80e+04	0.4263
1.81e+04	0.2120
1.82e+04	0.0382
1.83e+04	0.0152
1.84e+04	0.0022
1.85e+04	0.0022
1.86e+04	0.0014
1.87e+04	0.0000
