SNID SEARCH_PEAKMJD REDSHIFT_CMB REDSHIFT_CMB_ERR
ZTF18aailvrv 2458231.021294527 0.06212882 1e-06
ZTF18aaiwkwk 2458234.6155919144 0.08583829 1e-06
ZTF18aajpjdi 2458237.7930081747 0.07461706 1e-06
ZTF18aaqcozd 2458253.745033057 0.07321198 1e-06
ZTF18aaqcugm 2458255.6676895916 0.06183284 1e-06
ZTF18aaqehoc 2458251.5650600004 0.062157900000000016 1e-06
ZTF18aaroihe 2458259.6468634196 0.04825287 1e-06
ZTF18aasdted 2458265.8141270084 0.01815375 1e-06
ZTF18aasprui 2458348.2234704904 0.03796067 1e-06
ZTF18aauizcr 2458266.9256142657 0.03384244 1e-06
ZTF18aaumeys 2458267.596977102 0.03654838 1e-06
ZTF18aaunfqq 2458268.3863502406 0.07108651 1e-06
ZTF18aavrwhu 2458276.2773726573 0.06201363 1e-06
ZTF18aaxcntm 2458279.66445998 0.02679243 1e-06
ZTF18aaxnkos 2458283.5768384733 0.06282137 1e-06
ZTF18aayjvve 2458292.6450882116 0.04726618 1e-06
ZTF18aazixbw 2458292.4030603254 0.059455959387324966 1e-06
ZTF18abauprj 2458302.4920057086 0.024167 1e-06
ZTF18abcrxoj 2458306.631952403 0.03086616 1e-06
ZTF18abdgwxn 2458306.714225465 0.0634603 1e-06
ZTF18abetehf 2458318.609709055 0.06492737 1e-06
ZTF18abkhcrj 2458343.47147674 0.038230300000000016 1e-06
ZTF18abkhcwl 2458344.8295765403 0.03164368 1e-06
ZTF18abomklq 2458357.623824101 0.03762900750116243 1e-06
ZTF18abtrvkm 2458365.991338651 0.038002758540665545 1e-06
ZTF18accwjiu 2458441.5136670326 0.03281885 1e-06
