SNID	SEARCH_PEAKMJD	REDSHIFT_CMB	REDSHIFT_CMB_ERR
2020uwr	59134.764668970325	0.07871762139276428	0.005
2020vbs	59138.93755822411	0.05353687960958231	0.005
2020wfg	59143.13089355831	0.10862695233730957	0.005
2020wux	59147.627544550116	0.06501982936891215	0.005
2020xoc	59150.365501560256	0.12895450430622235	0.005
2020xqb	59160.576181141456	0.03581271968353117	0.005
2020yhn	59156.07960948021	0.0887158623923141	0.005
2020yza	59166.76337440492	0.07230847662145834	0.005
2020zbr	59167.483628439404	0.09063492968162978	0.005
2020zgc	59172.50428813742	0.06702253093459354	0.005
2020zhh	59178.65216116089	0.039783162321803456	0.005
2020zj	58870.27597613669	0.031919087597487295	0.005
2020zjo	59178.356119001044	0.08246006541744122	0.005
2020zmi	59186.04826757765	0.018564302062097804	0.005
2020zpi	59182.22451975839	0.03652722048225021	0.005
2021aaez	59495.72662668414	0.0988005687261364	0.005
2021abam	59507.50572466295	0.04799916793060843	0.005
2021abgx	59503.27471856342	0.07873345375307017	0.005
2021abpc	59510.549052441354	0.09478770946076742	0.005
2021abwk	59511.26931112903	0.08581512398636626	0.005
2021abwl	59506.222266443256	0.14967184881828977	0.005
2021abwm	59515.5052779736	0.09452641213332225	0.005
2021abym	59517.32576238142	0.06683954976920847	0.005
2021acfi	59519.28606148464	0.13965670741378444	0.005
2021acgu	59515.5050730281	0.1281569633436157	0.005
2021aci	59237.73916650992	0.09056171533521806	0.005
2021actw	59527.040586931624	0.08297271889038793	0.005
2021acvp	59529.45583780378	0.11883063075758837	0.005
2021aczd	59524.016731581316	0.1386086590606772	0.005
2021adew	59532.98279231171	0.07696079420836188	0.005
2021adtd	59532.398098786674	0.06973971760901976	0.005
2021adug	59540.03215942191	0.07239831005741593	0.005
2021adwh	59532.42051085824	0.15133024034631815	0.005
2021aegy	59539.0390527089	0.10616554666702638	0.005
2021aeja	59540.80695911207	0.0623457849296607	0.005
2021aele	59539.54738329587	0.07660722342818427	0.005
2021afeb	59553.75239517608	0.05423433205659478	0.005
2021afj	59232.30552529292	0.09826274987417039	0.005
2021afkm	59552.9874751835	0.11186377436727435	0.005
2021afra	59554.73949616038	0.08576224756824247	0.005
2021afui	59553.783428997755	0.07160657605468135	0.005
2021agu	59243.33838927334	0.05113018999739305	0.005
2021apd	59236.34320664361	0.09880938187620125	0.005
2021arl	59243.26561921353	0.07012973963326141	0.005
2021bmb	59256.45230618512	0.037901767306431466	0.005
2021bmt	59253.702374989996	0.07038084490604479	0.005
2021bpq	59260.3674907031	0.10127159913824157	0.005
2021bsf	59257.505859513956	0.024787049257187777	0.005
2021cca	59264.52660490061	0.08629572479356895	0.005
2021ccl	59262.88384281877	0.0915698687067994	0.005
2021cta	59270.426238957894	0.08164112735439888	0.005
2021dcu	59269.65513339456	0.042246140255279174	0.005
2021dha	59270.990054616115	0.08123888091359532	0.005
2021dnm	59280.39328560165	0.04713490079300198	0.005
2021dpw	59274.657830109	0.08123098448774146	0.005
2021dqo	59278.55472721351	0.07892413639882534	0.005
2021eng	59287.18578169887	0.08029430045018437	0.005
2021fnt	59287.68290410245	0.03658699637374996	0.005
2021fom	59289.53748782751	0.09119877990486591	0.005
2021foz	59296.319549441076	0.07546024445768085	0.005
